school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,M,18,U,GT3,A,1,0,teacher,at_home,reputation,mother,3,1,no,yes,yes,no,yes,no,yes,no,3,2,4,2,3,1,6,13,16,11
MS,F,21,U,LE3,A,2,3,at_home,health,reputation,father,2,1,yes,no,no,yes,yes,no,yes,no,4,2,4,4,1,2,18,1,14,7
MS,F,17,U,LE3,A,1,1,at_home,teacher,other,father,1,2,yes,no,no,yes,yes,no,no,yes,1,1,5,1,4,5,21,1,15,4
GP,F,16,U,LE3,T,2,4,health,services,reputation,other,2,3,yes,yes,no,no,yes,yes,yes,yes,1,5,5,5,1,5,2,2,4,2
MS,F,17,U,LE3,A,3,0,health,health,home,mother,2,0,yes,yes,yes,yes,no,yes,no,yes,3,1,4,1,3,5,28,7,16,5
MS,F,16,R,LE3,T,2,1,health,at_home,course,other,1,3,no,yes,no,yes,yes,yes,no,yes,2,2,5,4,4,3,9,10,6,6
GP,M,21,R,GT3,A,4,1,teacher,health,other,mother,1,3,yes,yes,yes,no,yes,no,yes,yes,2,5,1,5,2,4,28,11,14,11
MS,F,15,R,GT3,A,0,0,other,other,other,father,3,2,no,yes,no,no,no,no,no,yes,2,2,1,1,2,4,26,3,16,7
GP,F,20,U,GT3,T,3,1,health,teacher,reputation,mother,2,3,yes,no,no,no,yes,yes,yes,no,4,1,5,5,2,4,26,8,11,8
MS,F,21,R,GT3,A,3,0,other,services,other,mother,4,3,no,yes,no,no,no,yes,no,yes,4,1,4,4,3,3,10,16,10,8
GP,F,17,R,GT3,T,4,0,teacher,other,course,father,4,0,yes,yes,no,no,no,no,no,no,3,1,1,5,2,5,4,15,18,15
MS,F,18,R,GT3,T,2,2,other,at_home,other,father,1,3,yes,yes,yes,no,yes,no,yes,yes,2,5,2,4,1,4,30,16,10,10
MS,M,18,R,GT3,T,0,3,services,other,course,mother,1,0,no,yes,yes,no,yes,no,yes,no,3,4,4,5,2,3,1,14,1,2
GP,F,19,R,LE3,A,2,1,other,other,home,other,2,2,yes,yes,no,yes,no,no,yes,no,2,4,3,5,5,3,7,19,14,15
GP,M,16,U,GT3,A,1,1,health,at_home,home,mother,1,0,yes,yes,yes,yes,yes,no,yes,yes,1,2,3,2,5,2,13,6,4,5
GP,M,17,U,LE3,A,2,2,teacher,other,course,father,4,1,yes,yes,yes,no,no,no,yes,no,5,5,4,4,2,4,7,9,17,10
GP,F,19,R,LE3,T,3,2,health,services,reputation,other,3,1,yes,yes,no,yes,yes,no,yes,no,5,3,5,3,2,5,22,3,20,11
GP,F,17,R,GT3,T,0,2,services,health,other,father,3,0,yes,no,yes,no,no,no,no,no,2,4,1,5,5,1,5,13,20,14
GP,F,16,R,LE3,A,2,4,health,other,reputation,father,2,1,no,no,yes,yes,yes,yes,no,yes,3,5,1,1,2,3,0,13,15,10
GP,F,21,U,LE3,A,0,4,health,services,other,other,3,2,yes,no,yes,no,yes,no,no,yes,4,5,4,2,4,2,23,13,3,5
GP,M,21,U,LE3,A,0,4,health,health,home,father,1,1,no,yes,yes,yes,no,no,no,no,2,4,2,2,5,1,0,13,9,8
MS,F,18,R,LE3,A,1,0,at_home,health,home,father,1,0,yes,yes,no,no,no,no,yes,yes,2,5,5,5,3,3,7,19,1,4
MS,F,21,U,GT3,A,1,1,services,other,home,father,1,2,yes,yes,no,yes,no,yes,no,yes,4,5,2,3,5,2,10,17,14,14
GP,F,21,U,GT3,T,3,3,health,services,other,father,1,1,no,no,yes,no,no,yes,no,no,2,4,4,2,1,4,17,14,3,1
MS,F,15,R,GT3,T,4,0,health,other,home,father,2,2,no,yes,no,yes,yes,no,yes,no,1,1,4,4,4,2,23,18,15,14
MS,F,18,U,GT3,T,0,1,health,at_home,home,father,3,0,no,yes,no,yes,no,yes,no,yes,4,2,2,5,3,3,9,12,6,4
MS,F,19,U,GT3,A,4,1,teacher,health,home,father,4,1,no,yes,no,no,no,yes,yes,yes,1,3,3,5,2,4,11,11,11,8
MS,M,20,R,GT3,T,3,2,at_home,other,home,father,3,2,no,no,yes,yes,yes,yes,yes,yes,5,2,4,3,1,5,19,18,2,3
GP,M,15,U,GT3,T,0,2,teacher,health,reputation,father,1,2,yes,no,yes,yes,yes,no,yes,no,4,1,5,4,1,2,22,18,16,10
MS,F,19,U,GT3,T,0,0,at_home,services,home,mother,4,1,no,yes,no,yes,no,no,no,yes,4,1,2,4,4,1,15,19,8,9
GP,F,16,R,GT3,T,4,2,health,teacher,home,mother,2,2,no,no,no,yes,yes,no,yes,yes,3,5,3,3,3,4,4,1,7,3
MS,F,15,U,GT3,T,2,1,services,other,reputation,father,1,2,yes,yes,yes,yes,no,no,no,yes,3,2,2,1,1,4,15,20,5,10
MS,M,19,U,LE3,A,1,2,other,other,reputation,mother,1,0,yes,yes,no,no,yes,no,no,no,4,1,3,4,3,5,23,2,14,6
MS,F,16,R,GT3,T,2,4,other,health,other,other,4,0,no,no,yes,no,no,no,no,no,5,2,3,1,3,2,11,9,9,8
GP,M,18,R,LE3,A,4,2,health,services,course,mother,2,0,no,no,no,yes,yes,no,yes,no,2,1,5,1,1,1,30,4,5,3
MS,F,20,R,LE3,A,1,1,teacher,at_home,home,father,4,0,no,no,yes,no,no,yes,yes,yes,3,3,4,5,3,5,5,11,14,11
GP,F,16,U,LE3,A,2,0,services,services,home,father,2,0,yes,no,yes,yes,no,no,yes,yes,5,1,3,5,4,2,29,6,13,6
MS,F,21,R,LE3,A,1,3,at_home,other,home,mother,1,0,no,yes,yes,no,yes,no,no,no,5,2,4,2,1,1,30,8,18,11
GP,F,17,U,GT3,A,0,2,health,at_home,other,father,3,1,yes,yes,yes,yes,yes,no,no,yes,3,5,5,5,4,1,4,1,12,7
MS,M,16,R,LE3,T,2,1,services,services,home,other,1,0,yes,no,no,yes,no,no,yes,yes,2,2,4,4,4,3,0,9,13,8
GP,M,16,U,GT3,T,1,3,services,teacher,course,other,3,2,yes,no,yes,yes,no,no,no,yes,3,4,1,4,3,1,18,5,2,3
GP,F,20,R,GT3,A,1,3,at_home,health,reputation,father,3,1,yes,yes,no,yes,yes,no,yes,no,5,2,3,1,3,2,9,11,3,5
MS,F,17,R,LE3,A,1,4,services,services,other,other,2,2,no,yes,yes,no,yes,no,yes,yes,1,3,5,4,1,5,24,5,13,6
GP,M,21,R,GT3,A,2,3,teacher,services,reputation,other,4,0,yes,yes,yes,no,yes,no,no,yes,3,3,2,5,2,5,30,2,13,8
MS,M,19,R,LE3,T,3,1,teacher,teacher,home,mother,2,0,yes,yes,no,no,yes,yes,no,no,5,3,5,5,1,3,13,9,7,1
MS,M,19,U,LE3,A,2,1,teacher,other,home,other,1,2,no,no,no,yes,yes,yes,yes,yes,3,1,3,5,4,2,24,8,9,3
MS,M,16,R,GT3,T,4,2,services,health,home,mother,4,2,yes,no,no,no,yes,no,no,no,5,3,5,3,3,1,20,19,8,7
MS,F,17,R,GT3,A,2,2,teacher,services,course,father,3,2,no,no,yes,no,yes,no,yes,yes,2,2,2,4,4,3,2,4,13,8
MS,M,17,U,LE3,T,1,2,at_home,at_home,course,mother,3,3,yes,yes,yes,yes,yes,yes,yes,no,5,5,1,2,5,4,5,2,7,2
MS,F,21,R,GT3,A,0,3,services,services,other,father,1,3,no,yes,no,yes,yes,no,no,no,4,3,3,4,5,2,4,4,10,3
MS,M,20,U,GT3,T,2,3,other,health,reputation,father,4,3,yes,no,yes,yes,no,no,yes,yes,1,2,3,4,4,3,30,7,9,6
MS,M,18,R,GT3,A,2,4,services,services,home,father,1,3,yes,no,no,no,yes,yes,no,yes,5,1,5,3,2,5,16,7,17,10
MS,M,19,R,LE3,T,1,2,at_home,teacher,home,father,1,1,no,no,yes,no,yes,no,yes,no,3,1,4,4,2,3,17,13,3,4
MS,M,20,R,LE3,T,0,0,other,services,home,father,2,0,yes,yes,yes,yes,no,no,no,yes,3,5,4,1,1,4,11,16,3,3
MS,M,15,U,GT3,T,0,4,services,services,home,mother,1,2,yes,no,yes,no,no,no,no,no,5,5,2,5,1,2,4,10,11,8
GP,F,19,R,GT3,T,4,0,teacher,at_home,course,father,4,0,no,yes,no,yes,no,yes,yes,yes,4,2,1,5,1,3,29,15,17,14
GP,F,20,R,GT3,T,2,3,health,teacher,reputation,other,1,2,yes,no,yes,no,no,yes,no,yes,5,5,1,3,3,1,8,5,7,2
MS,M,19,R,GT3,T,0,4,health,teacher,reputation,other,4,0,yes,no,no,yes,no,no,no,yes,2,5,5,5,2,2,11,10,2,7
MS,M,18,U,GT3,T,0,4,teacher,services,other,father,3,1,no,no,no,no,no,yes,yes,yes,4,1,5,1,4,3,19,9,17,10
MS,F,15,U,LE3,A,3,1,health,at_home,course,other,1,3,no,yes,yes,no,yes,yes,no,no,5,2,4,3,5,3,8,8,6,4
MS,M,18,R,GT3,A,3,3,health,services,home,mother,4,0,no,yes,no,no,no,yes,yes,no,1,5,1,2,2,2,2,14,0,4
MS,M,21,U,LE3,A,0,3,teacher,services,reputation,mother,3,2,no,yes,no,yes,no,no,no,yes,4,2,1,5,2,5,0,6,12,8
MS,F,15,R,GT3,A,4,4,teacher,health,reputation,father,4,0,no,yes,yes,yes,no,yes,yes,yes,5,3,1,4,2,1,21,17,2,1
MS,M,16,R,LE3,A,0,3,services,health,course,father,3,1,yes,yes,no,yes,yes,yes,yes,yes,1,1,2,1,1,2,14,0,2,0
MS,M,20,R,GT3,T,1,4,services,at_home,other,father,2,1,no,yes,no,no,no,yes,yes,yes,5,1,2,1,3,1,9,14,14,12
GP,F,15,R,LE3,T,2,1,teacher,other,other,other,1,0,yes,no,yes,yes,yes,no,yes,yes,2,1,5,5,4,1,13,1,20,12
MS,F,21,R,GT3,T,4,4,at_home,health,home,other,1,3,no,yes,yes,no,no,yes,no,no,3,4,4,2,1,2,6,1,18,9
GP,F,21,R,LE3,T,1,3,health,other,other,mother,3,2,yes,no,yes,yes,no,yes,yes,no,5,2,3,4,3,3,3,9,3,3
MS,M,18,R,LE3,T,4,3,services,teacher,reputation,other,2,1,yes,yes,no,yes,yes,no,no,yes,4,3,4,2,2,5,25,19,12,13
MS,F,19,U,LE3,A,1,4,health,health,other,mother,4,1,no,no,no,no,yes,yes,yes,no,5,5,2,2,3,1,4,14,12,13
GP,F,15,U,LE3,A,2,4,other,health,home,other,2,0,yes,no,yes,no,no,yes,no,no,5,3,2,5,1,1,19,9,14,9
MS,F,20,U,LE3,A,2,4,teacher,at_home,reputation,mother,4,1,yes,yes,no,yes,yes,yes,yes,yes,5,2,5,4,2,3,15,18,18,14
GP,F,15,U,LE3,A,3,2,at_home,other,other,father,4,1,no,no,yes,yes,yes,no,no,no,5,1,3,5,1,2,2,12,15,13
MS,F,17,U,GT3,T,1,3,other,health,other,other,1,2,no,yes,yes,no,no,no,no,no,4,4,1,5,4,5,16,10,6,3
MS,F,19,U,LE3,T,3,3,other,health,course,mother,3,3,no,yes,yes,no,no,yes,yes,no,4,2,3,1,2,1,12,1,2,1
GP,M,20,U,GT3,T,1,2,other,at_home,home,other,1,2,no,yes,no,yes,no,yes,yes,no,5,2,3,5,3,1,5,20,19,20
MS,M,20,R,GT3,A,3,4,teacher,at_home,other,father,1,3,yes,yes,no,no,yes,yes,yes,yes,3,5,3,3,1,2,25,12,1,5
GP,F,16,R,GT3,T,2,1,services,other,course,mother,1,2,yes,no,yes,yes,no,yes,no,no,5,3,5,4,5,3,4,20,17,16
MS,F,18,R,GT3,A,4,4,teacher,teacher,reputation,other,4,0,yes,yes,yes,yes,no,yes,no,no,4,3,2,1,3,4,15,0,10,4
GP,F,16,R,GT3,T,3,4,services,teacher,course,other,1,1,yes,no,no,yes,yes,yes,no,no,2,5,1,4,3,3,10,4,0,2
GP,M,20,U,LE3,T,1,2,other,services,course,father,4,3,yes,no,yes,no,yes,no,no,yes,5,4,3,1,2,1,16,20,15,15
MS,M,19,U,LE3,A,1,3,other,health,other,father,3,0,yes,no,no,yes,no,yes,yes,no,5,1,1,3,3,1,4,6,16,6
MS,M,15,R,LE3,T,2,4,at_home,other,other,mother,4,1,no,yes,yes,yes,yes,yes,yes,no,5,1,3,5,1,5,5,12,15,10
GP,M,15,R,GT3,T,1,3,services,health,other,other,4,1,yes,no,yes,no,no,yes,yes,no,5,4,2,1,5,3,9,12,9,8
MS,M,19,U,LE3,A,0,0,other,other,course,other,2,1,yes,yes,no,no,yes,no,yes,yes,1,5,1,1,4,4,20,19,16,13
MS,M,20,R,LE3,T,4,3,health,other,reputation,father,1,2,yes,no,no,no,no,yes,no,yes,5,2,4,1,5,5,0,20,2,6
MS,M,21,R,LE3,A,3,1,at_home,other,home,father,1,0,no,yes,no,yes,yes,no,no,yes,4,3,2,3,1,4,29,5,17,12
GP,M,15,R,LE3,T,4,1,teacher,health,course,mother,1,0,no,yes,no,no,yes,yes,yes,yes,4,2,1,4,2,5,20,19,18,15
GP,M,21,R,LE3,T,2,4,at_home,at_home,other,other,1,1,no,yes,no,no,yes,yes,no,yes,1,3,3,3,1,3,9,11,13,8
GP,F,15,U,GT3,T,3,3,health,health,home,other,2,3,no,yes,yes,yes,yes,yes,yes,no,5,2,3,1,3,1,16,7,20,14
GP,F,15,R,LE3,T,3,4,services,other,reputation,mother,2,0,yes,no,yes,yes,no,yes,no,yes,3,5,2,1,2,4,26,8,1,5
GP,F,18,R,GT3,T,0,2,teacher,services,home,mother,2,2,yes,no,no,yes,yes,yes,no,no,5,5,2,5,4,3,2,17,11,12
GP,F,18,U,GT3,T,2,1,teacher,teacher,other,father,2,3,yes,yes,no,yes,no,yes,no,yes,4,4,3,3,4,4,27,10,10,7
GP,M,17,U,GT3,T,1,4,services,other,course,father,1,3,no,no,yes,no,yes,no,no,yes,2,2,1,3,1,3,28,19,16,12
GP,M,16,R,GT3,T,0,2,at_home,services,course,mother,4,3,yes,yes,yes,yes,yes,yes,no,yes,2,2,4,2,3,5,1,10,5,3
GP,F,19,U,GT3,A,0,4,other,at_home,other,mother,3,3,yes,yes,no,no,no,yes,no,no,3,4,5,4,4,3,28,14,18,13
MS,M,19,R,LE3,A,4,3,at_home,other,course,other,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,2,2,5,5,16,8,12,10
GP,F,19,R,LE3,T,4,3,health,services,other,mother,4,1,no,yes,yes,yes,yes,no,no,no,1,5,3,2,2,1,3,2,6,4
MS,M,17,U,LE3,T,4,3,other,other,course,mother,2,3,no,yes,no,no,no,yes,yes,yes,5,5,1,4,5,5,1,16,10,13
MS,F,18,R,GT3,A,0,3,at_home,health,course,other,1,2,no,yes,yes,no,yes,no,yes,yes,3,2,2,5,4,2,4,16,6,3
MS,M,20,R,LE3,T,1,0,services,services,course,mother,1,2,yes,yes,yes,no,no,yes,yes,yes,3,5,1,5,4,1,9,2,12,6
GP,M,21,R,LE3,T,3,2,health,health,reputation,father,4,1,yes,yes,no,yes,yes,yes,yes,yes,3,5,2,4,1,3,0,18,12,13
GP,F,21,R,GT3,A,4,2,health,health,reputation,father,4,0,yes,no,yes,yes,yes,no,yes,yes,2,2,3,4,1,3,27,8,20,11
GP,M,20,U,GT3,T,1,3,health,services,other,other,4,1,yes,no,yes,no,yes,no,yes,yes,5,4,1,3,2,2,25,16,0,2
GP,F,17,U,GT3,T,2,0,other,teacher,reputation,mother,1,3,no,no,yes,no,no,yes,no,no,5,2,3,3,1,3,0,17,18,11
MS,F,20,R,GT3,A,4,3,teacher,services,other,father,1,0,yes,yes,no,yes,yes,no,no,no,1,1,1,3,3,1,26,14,18,13
GP,F,19,U,LE3,T,3,0,other,teacher,home,father,3,0,no,yes,yes,no,yes,no,no,yes,3,2,2,3,2,1,25,0,14,4
GP,F,16,R,GT3,T,2,3,at_home,other,home,father,4,3,yes,yes,no,no,yes,yes,yes,no,3,1,5,1,3,5,3,9,13,12
GP,M,15,R,GT3,A,2,1,teacher,other,reputation,father,3,2,no,yes,yes,yes,yes,yes,yes,no,4,2,5,1,1,4,6,7,2,4
GP,M,21,R,LE3,T,3,1,at_home,services,home,mother,2,3,yes,yes,yes,no,yes,yes,yes,no,4,1,4,5,2,3,13,9,20,12
GP,M,18,R,LE3,A,4,4,teacher,other,home,mother,3,1,yes,yes,yes,yes,yes,no,no,yes,2,1,4,1,4,2,13,1,19,9
MS,F,18,R,GT3,T,0,3,other,at_home,course,mother,2,3,no,no,yes,yes,yes,yes,no,yes,5,2,3,1,5,1,17,18,3,9
GP,M,17,U,LE3,T,3,2,health,health,course,mother,2,2,no,yes,yes,yes,yes,yes,no,yes,1,5,1,3,4,1,1,13,6,9
MS,F,18,R,GT3,A,3,4,services,health,other,father,3,3,yes,no,no,no,yes,no,yes,yes,1,3,4,3,3,1,0,7,0,0
GP,M,19,U,GT3,A,3,1,health,teacher,home,other,4,1,yes,yes,no,no,no,no,yes,no,3,5,2,4,4,4,20,18,18,12
MS,M,21,U,LE3,T,2,3,other,other,other,other,2,1,yes,no,yes,no,yes,yes,yes,yes,1,1,5,3,4,4,21,0,2,0
GP,M,20,R,LE3,A,1,4,teacher,teacher,other,father,4,2,no,yes,no,no,no,no,no,yes,3,2,1,4,5,3,15,15,19,12
GP,F,19,R,GT3,A,0,3,health,health,home,father,1,1,yes,no,no,yes,no,no,yes,yes,5,2,5,4,5,2,28,14,14,7
MS,M,17,R,GT3,T,4,1,other,health,reputation,other,2,1,no,no,yes,yes,no,no,yes,no,1,2,1,1,4,4,21,19,12,10
MS,M,19,R,GT3,T,4,4,at_home,other,home,other,1,3,yes,yes,no,no,yes,yes,yes,no,3,2,4,3,5,5,17,4,13,6
MS,F,20,R,LE3,T,1,1,services,at_home,course,father,3,0,yes,yes,no,no,no,yes,yes,no,5,3,4,1,4,4,15,2,6,1
GP,M,16,U,GT3,A,3,0,health,at_home,home,father,4,1,yes,no,no,no,no,yes,no,no,5,4,3,3,2,1,27,16,0,5
MS,F,17,R,GT3,A,0,1,teacher,other,reputation,mother,3,1,yes,yes,no,no,no,no,no,no,3,1,1,1,4,2,27,9,12,8
GP,M,16,R,GT3,A,4,3,at_home,other,other,mother,2,2,no,yes,yes,yes,yes,yes,yes,yes,3,3,2,1,1,3,22,4,3,3
GP,F,15,U,GT3,A,4,2,other,teacher,other,other,1,2,no,yes,no,no,no,yes,yes,no,2,5,4,1,5,4,21,10,11,6
MS,F,16,U,GT3,T,3,1,services,other,course,father,2,3,yes,no,yes,yes,yes,no,no,no,5,4,3,5,5,1,23,5,6,5
MS,M,15,R,LE3,A,1,2,teacher,at_home,course,other,3,3,yes,yes,yes,no,no,no,no,yes,3,4,4,1,3,5,5,3,1,1
GP,F,15,U,GT3,T,0,0,other,other,course,mother,4,1,yes,no,no,no,no,yes,yes,yes,5,2,5,2,3,5,24,6,16,8
GP,F,16,R,GT3,A,1,4,other,teacher,other,mother,4,0,no,no,yes,no,yes,no,no,yes,1,3,4,2,1,3,9,18,0,8
MS,F,17,U,GT3,T,1,4,health,teacher,course,other,2,0,yes,yes,no,yes,yes,yes,no,no,4,5,1,2,5,3,1,6,13,8
MS,F,20,U,GT3,T,0,2,health,teacher,home,mother,2,3,no,no,yes,no,no,yes,yes,yes,4,2,3,4,5,4,6,13,20,12
MS,F,19,R,LE3,T,0,4,teacher,teacher,other,father,1,2,no,yes,no,yes,no,yes,no,no,3,2,1,1,3,3,20,16,0,5
GP,F,19,U,LE3,A,4,1,other,services,reputation,other,3,1,no,yes,no,yes,no,no,no,yes,3,1,2,2,3,1,16,16,2,3
GP,M,20,U,LE3,T,4,2,health,other,other,father,2,1,no,no,yes,no,yes,no,no,no,5,4,2,4,4,1,2,12,10,8
GP,F,21,U,GT3,T,0,3,services,health,home,father,1,0,yes,no,no,yes,yes,yes,no,no,3,5,4,2,5,1,19,0,6,7
GP,F,21,U,GT3,A,2,1,services,other,home,mother,2,3,yes,no,no,yes,no,yes,yes,no,5,4,3,3,5,4,11,1,8,0
GP,M,15,U,LE3,T,4,1,other,services,course,father,4,0,no,no,no,yes,no,yes,no,no,3,3,3,5,4,4,1,17,2,5
GP,M,15,U,LE3,A,2,1,health,teacher,other,other,1,0,yes,no,no,no,yes,yes,no,yes,5,1,3,1,5,3,6,3,0,0
MS,M,17,R,LE3,A,0,3,teacher,services,other,father,1,3,yes,yes,yes,yes,yes,no,yes,yes,3,2,3,5,1,4,16,12,18,11
GP,M,18,R,GT3,T,4,0,teacher,at_home,other,father,2,2,yes,no,yes,yes,no,yes,no,no,2,1,4,5,3,1,18,0,1,0
GP,M,16,U,GT3,T,1,4,teacher,at_home,reputation,father,3,1,no,yes,yes,no,yes,yes,yes,yes,5,2,1,3,3,2,11,3,20,14
GP,M,15,R,LE3,A,0,2,services,other,course,father,4,2,yes,yes,no,no,no,no,yes,no,2,1,4,3,3,1,8,1,4,1
MS,M,19,R,LE3,T,3,0,health,other,home,father,3,3,yes,no,yes,yes,yes,yes,no,yes,2,2,1,3,2,2,26,3,16,9
